trackName,trackType,genreName,trackPrice
Master Of Puppets,MPEG audio file,Metal,$0.99
The Four Horsemen,MPEG audio file,Metal,$0.99
Seek & Destroy,MPEG audio file,Metal,$0.99
Creeping Death,MPEG audio file,Metal,$0.99
Where Eagles Dare,MPEG audio file,Metal,$0.99
N.I.B.,MPEG audio file,Metal,$0.99
2 Minutes To Midnight,MPEG audio file,Metal,$0.99
Enter Sandman,MPEG audio file,Metal,$0.99
For Whom The Bell Tolls,MPEG audio file,Metal,$0.99
Wasted Years,MPEG audio file,Metal,$0.99
Killers,MPEG audio file,Heavy Metal,$0.99
Supernaut,MPEG audio file,Metal,$0.99
Looks That Kill,MPEG audio file,Metal,$0.99
Run to the Hills,MPEG audio file,Metal,$0.99
Live To Win,MPEG audio file,Metal,$0.99
Wrathchild,MPEG audio file,Heavy Metal,$0.99
Ace Of Spades,MPEG audio file,Metal,$0.99
