trackName,albumTitle,artistName,genreName,billingCountry
Train In Vain,The Singles,The Clash,Alternative & Punk,USA
Meditação,Prenda Minha,Caetano Veloso,Latin,USA
Música No Ar,Serie Sem Limite (Disc 1),Tim Maia,Latin,USA
Turbo Lover,Living After Midnight,Judas Priest,Metal,Canada
Rehab,Back to Black,Amy Winehouse,R&B/Soul,USA
Plaster Caster,Unplugged [Live],Kiss,Rock,Canada
Speed Of Light,Beyond Good And Evil,The Cult,Rock,USA
Sun King,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,Rock,USA
Peace On Earth,All That You Can't Leave Behind,U2,Rock,USA
Gay Witch Hunt,"The Office, Season 3",The Office,TV Shows,USA
